"state_no_vec","z","z_true","pr_post"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3639 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3935 4035 4135 4136 4138 4236 4335 4435 4735","33 36","3634","0.00 0.00 0.00 0.01 0.01 0.00 0.29 0.06 0.05 0.04 0.00 0.00 0.00 0.00 0.01 0.13 0.04 0.03 0.00 0.00 0.13 0.08 0.01 0.05 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3638 3639 3725 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4028 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4535 4640 4735","36 38","3634","0.00 0.00 0.00 0.01 0.01 0.00 0.17 0.08 0.06 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.01 0.09 0.00 0.01 0.09 0.19 0.03 0.00 0.09 0.00 0.04 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3638 3639 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4137 4138 4236 4335 4340 4435 4438 4440 4535 4539 4540 4640 4735","32 32","3634","0.01 0.02 0.14 0.02 0.02 0.00 0.32 0.08 0.07 0.08 0.00 0.00 0.00 0.00 0.00 0.00 0.04 0.01 0.05 0.00 0.00 0.03 0.06 0.01 0.00 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2330 2528 2628 3031 3233 3235 3333 3335 3432 3534 3537 3538 3539 3634 3635 3636 3637 3638 3639 3725 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4138 4236 4335 4340 4435 4440 4540 4640 4735","30 32","3634","0.00 0.00 0.02 0.01 0.01 0.02 0.26 0.02 0.02 0.01 0.01 0.01 0.00 0.34 0.04 0.01 0.02 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.04 0.01 0.02 0.00 0.00 0.03 0.02 0.00 0.00 0.02 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2230 2330 2528 2623 2628 2723 3031 3233 3235 3333 3334 3335 3336 3337 3432 3436 3534 3537 3538 3539 3634 3635 3636 3637 3639 3725 3726 3728 3734 3735 3736 3738 3834 3835 3836 3927 3935 4028 4035 4135 4136 4138 4236 4335 4340 4435 4535 4640 4735","31 29","3634","0.00 0.00 0.00 0.00 0.06 0.00 0.01 0.04 0.06 0.38 0.03 0.06 0.01 0.00 0.01 0.01 0.01 0.01 0.01 0.00 0.19 0.03 0.01 0.02 0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.00 0.01 0.01 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2230 2330 2528 2623 2628 2723 3031 3036 3137 3233 3235 3238 3333 3334 3335 3336 3337 3432 3436 3534 3537 3538 3539 3634 3635 3636 3637 3639 3726 3728 3734 3735 3736 3738 3834 3835 3836 3927 3935 4035 4135 4136 4138 4236 4335 4435 4535 4640","34 37","3634","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.02 0.00 0.15 0.00 0.03 0.01 0.00 0.00 0.01 0.01 0.03 0.01 0.00 0.35 0.11 0.01 0.01 0.00 0.00 0.00 0.04 0.07 0.02 0.00 0.01 0.04 0.00 0.00 0.03 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2528 2628 3031 3233 3235 3333 3334 3335 3336 3337 3436 3537 3538 3539 3634 3635 3636 3637 3639 3726 3728 3734 3735 3736 3737 3738 3834 3835 3836 3935 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4535 4640 4735","35 36","3634","0.00 0.00 0.00 0.00 0.01 0.04 0.00 0.01 0.00 0.00 0.01 0.03 0.01 0.00 0.27 0.10 0.05 0.07 0.00 0.00 0.00 0.03 0.04 0.19 0.00 0.00 0.01 0.07 0.00 0.03 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2628 3031 3233 3235 3333 3335 3336 3337 3436 3537 3538 3539 3634 3635 3636 3637 3638 3639 3726 3728 3730 3731 3734 3735 3736 3737 3834 3835 3836 3839 3935 4035 4135 4136 4138 4236 4335 4340 4435 4440 4535 4540 4640 4735","34 37","3634","0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.30 0.03 0.02 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.08 0.02 0.11 0.00 0.06 0.14 0.02 0.00 0.08 0.06 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2628 3031 3233 3235 3333 3335 3537 3538 3539 3634 3635 3636 3637 3638 3639 3725 3726 3728 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4535 4540 4635 4640 4735","33 36","3634","0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.37 0.05 0.02 0.03 0.00 0.00 0.00 0.00 0.00 0.07 0.00 0.05 0.00 0.00 0.12 0.12 0.01 0.00 0.07 0.05 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3638 3639 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4137 4138 4236 4239 4335 4340 4435 4440 4535 4540 4635 4640 4735","34 37","3634","0.00 0.00 0.00 0.00 0.00 0.00 0.38 0.05 0.03 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.07 0.01 0.04 0.00 0.00 0.10 0.15 0.01 0.00 0.08 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3638 3639 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4535 4540 4640 4735","35 42","3634","0.00 0.00 0.00 0.00 0.00 0.00 0.07 0.01 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.01 0.00 0.00 0.05 0.04 0.00 0.00 0.08 0.16 0.09 0.04 0.01 0.01 0.05 0.26 0.00 0.08 0.00 0.01 0.00 0.00 0.01"
"3333 3537 3538 3634 3635 3636 3637 3639 3726 3728 3734 3736 3737 3738 3834 3835 3836 3927 3935 4028 4035 4135 4136 4137 4138 4236 4239 4335 4340 4435 4438 4439 4440 4535 4539 4635 4639 4640 4735 4737","34 35","3634","0.00 0.00 0.00 0.22 0.15 0.05 0.04 0.00 0.00 0.00 0.01 0.02 0.00 0.00 0.06 0.30 0.00 0.00 0.09 0.00 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"3031 3233 3333 3537 3538 3539 3634 3635 3636 3637 3639 3726 3728 3730 3731 3734 3735 3736 3737 3738 3834 3835 3836 3839 3935 4035 4135 4136 4137 4138 4236 4335 4340 4435 4440 4640 4735","34 34","3637","0.00 0.01 0.02 0.04 0.03 0.00 0.25 0.10 0.14 0.20 0.00 0.00 0.00 0.00 0.00 0.03 0.01 0.06 0.01 0.00 0.01 0.04 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2528 2628 3031 3233 3235 3333 3335 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3726 3728 3730 3731 3734 3735 3736 3737 3834 3835 3836 3839 3935 4035 4135 4136 4138 4236 4335 4340 4435 4440 4535 4540 4640 4735","36 33","3538","0.00 0.00 0.00 0.00 0.01 0.01 0.01 0.14 0.47 0.04 0.05 0.02 0.02 0.14 0.01 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2628 2835 2935 3137 3235 3237 3238 3240 3333 3335 3336 3337 3338 3436 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3726 3728 3730 3731 3734 3735 3736 3740 3741 3834 3835 3836 3839 3935 3940 3943 4035 4136 4340 4440 4447 4540 4640 4737","38 35","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.01 0.02 0.73 0.14 0.00 0.01 0.01 0.01 0.01 0.02 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2835 2935 2937 3137 3237 3238 3239 3240 3333 3336 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3642 3734 3735 3736 3740 3741 3834 3835 3840 3940 3943 3945 4035 4447 4640 4737","38 36","3539","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.01 0.77 0.12 0.00 0.00 0.00 0.01 0.02 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2835 2935 2937 3137 3237 3238 3240 3336 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3735 3736 3740 3741 3834 3840 3842 3940 3943 3945 4447 4737","41 39","3539","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.67 0.13 0.00 0.00 0.00 0.01 0.01 0.04 0.03 0.00 0.00 0.01 0.02 0.00 0.01 0.00 0.02 0.01 0.00 0.00 0.00"
"2835 2935 2937 3137 3237 3238 3240 3336 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3642 3735 3736 3740 3741 3834 3840 3842 3940 3941 3943 3945 3947 3958 4044 4145 4447 4548 4737","36 32","3539","0.00 0.00 0.00 0.01 0.00 0.02 0.00 0.00 0.05 0.02 0.02 0.02 0.68 0.11 0.00 0.01 0.01 0.01 0.01 0.02 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2230 2331 2432 2532 2734 2835 2935 2937 2938 2943 3042 3137 3138 3139 3140 3141 3144 3237 3238 3239 3240 3333 3336 3337 3338 3339 3437 3438 3440 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3734 3735 3736 3740 3741 3834 3835 3840 3940 3941 3943 3945 4447 4737","38 38","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.01 0.00 0.02 0.72 0.10 0.00 0.01 0.01 0.02 0.02 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00"
"2230 2734 2835 2935 2937 2943 3041 3137 3139 3140 3237 3238 3239 3240 3333 3336 3337 3338 3438 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3642 3734 3735 3736 3740 3741 3834 3835 3836 3840 3842 3940 3941 3943 3945 4447 4737","39 31","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.04 0.01 0.01 0.00 0.00 0.01 0.02 0.02 0.01 0.66 0.14 0.00 0.00 0.00 0.00 0.01 0.02 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
"2230 2331 2432 2532 2734 2835 2935 2937 2938 2943 3041 3042 3137 3138 3139 3140 3141 3144 3237 3238 3239 3240 3336 3337 3338 3339 3438 3440 3537 3538 3539 3634 3635 3636 3637 3638 3639 3640 3641 3735 3736 3740 3741 3834 3840 3842 3940 3941 3943 3945 4447 4737","39 32","3538","0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.03 0.00 0.00 0.00 0.05 0.01 0.01 0.00 0.01 0.03 0.00 0.02 0.00 0.01 0.55 0.19 0.00 0.00 0.00 0.00 0.01 0.02 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00"
